järnvägstrafiklagen (1985:192)
kapitalförsörjningsförordningen (1992:406)
kapitalförsörjningsförordningen (1996:1188)
karantänslagen (1989:290)
kartsekretessförordningen (1975:372)
kasinolagen (1999:355)
kassakvotslagen (1962:256)
klagarförordningen (1996:205)
koleförordningen (1988:655)
kommunalförbundslagen (1985:894)
kommunallagen (1953:753)
kommunallagen (1957:50)
kommunallagen (1977:179)
kommunallagen (1991:900)
kommunalskattelagen (1928:370)
kommunaltjänstemannalagen (1965:275)
konkurrensförordningen (1993:173)
konkurrenslagen (1982:729)
konkurrenslagen (1993:20)
konkurrenslagen (1993:73)
konkursförordningen (1979:801)
konkursförordningen (1987:916)
konkurslagen (1921:225)
konkurslagen (1987:672)
konsumentförsäkringslagen (1980:38)
konsumentkreditlagen (1977:981)
konsumentkreditlagen (1992:830)
konsumentköplagen (1973:877)
konsumentköplagen (1990:932)
konsumenttjänstlagen (1985:716)
kreditupplysningsförordningen (1981:955)
kreditupplysningslagen (1973:1173)
krigshandelslagen (1964:19)
kräftpestförordningen (1975:184)
kungörandeförordningen (1977:827)
kupongskatteförordningen (1970:624)
kupongskattelagen (1970:624)
kyrkofondslagen (1988:182)
kyrkolagen (1686:0903)
kyrkolagen (1992:300)
kyrkomusikerförordningen (1950:375)
kyrkomötesförordningen (1949:174)
kärntekniklagen (1984:3)
köplagen (1990:931)
körkortlagen (1977:477)
körkortsförordningen (1977:722)
körkortsförordningen (1998:980)
körkortslagen (1977:477)
körkortslagen (1998:488)
körningslagen (1975:1313)
lagsökningslagen (1946:808)
landstingslagen (1954:319)
ledningsrättslagen (1973:1144)
legaliseringslagen (1968:578)
lingslagen (1988:180)
livsmedelsförordningen (1971:807)
livsmedelslagen (1971:511)
llningsförordningen (1965:601)
lokalradiolagen (1993:120)
lotteriförordningen (1939:207)
lotteriförordningen (1982:1012)
lotterilagen (1982:1011)
lotterilagen (1994:1000)
luftfartsförordningen (1986:171)
luftfartslagen (1957:297)
läkemedelsförordningen (1962:701)
läkemedelsförordningen (1992:1752)
läkemedelslagen (1992:589)
läkemedelslagen (1992:859)
lönegarantilagen (1992:497)
marknadsföringslagen (1975:1418)
marknadsföringslagen (1995:450)
medborgarskapsförordningen (2001:218)
mervärdesskatteförordningen (1994:223)
mervärdesskattelagen (1994:200)
militärersättningsförordningen (1950:261)
militärersättningslagen (1950:261)
miljöbalken (1998:808)
miljöskadelagen (1986:225)
miljöskyddsförordningen (1981:574)
miljöskyddsförordningen (1989:364)
miljöskyddslagen (1963:387)
miljöskyddslagen (1969:387)
minerallagen (1991:45)
mopedförordningen (1960:134)
mätningsförordningen (1920:850)
mönsterskyddsförordningen (1970:486)
mönsterskyddslagen (1970:485)
mönstringslagen (1983:929)
namnlagen (1963:521)
namnlagen (1982:670)
narkotikaförordningen (1962:704)
narkotikastrafflagen (1968:64)
nationalparksförordningen (1987:938)
naturgaslagen (2000:599)
naturvårdsförordningen (1976:484)
naturvårdslagen (1964:822)
ningsförordningen (1994:373)
ningslagen (1981:1361)
ningslagen (1997:483)
notarieförordningen (1984:488)
notarieförordningen (1990:469)
nybyggnadslåneförordningen (1986:692)
närradiolagen (1982:459)
obduktionslagen (1975:191)
obduktionslagen (1995:832)
officersförordningen (1994:882)
oleförordningen (1988:655)
oljekrislagen (1975:197)
ombyggnadslåneförordningen (1986:693)
omplaceringsförordningen (1984:110)
ordningslagen (1993:000)
ordningslagen (1993:1617)
pantbankslagen (1995:1000)
passförordningen (1979:664)
passlagen (1978:302)
patentlagen (1967:837)
patientjournallagen (1985:562)
patientskadelagen (1996:799)
permutationslagen (1972:205)
peronuppgiftslagen (1998:204)
personalföreträdareförordningen (1987:1101)
personalföreträdarförordningen (1987:1101)
